Ariyalur, 28, 15
Chengalpet, 11, 12, 14
Chennai, 12, 11, 9
Coimbatore, 16, 3
Cuddalore, 14
Dharmapuri, 5, 4
Dindigul, 20, 18, 19, 21
Erode, 6, 18
Kallakurichi, 15, 13
Kancheepuram, 11
Karur, 19, 18
Krishnagiri, 5, 1, 0, 4
Madurai, 21, 20, 24, 25
Mayiladuthurai, 29
Nagapattinam, 19
Kanyakumari, 27
Namakkal, 7, 19
Perambalur, 15, 28
Pudukottai, 30, 28, 21, 19
Ramanathapuram, 25
Ranipet, 10, 8, 11
Salem, 7, 6
Sivagangai, 21, 25
Tenkasi, 23, 26, 22
Thanjavur, 28
Theni, 20, 17, 22
Thiruvallur, 9, 11
Thiruvarur, 29
Tuticorin, 26
Trichirappalli, 19, 28
Thirunelveli, 26
Tirupathur, 5, 1
Tiruppur, 18, 16, 3, 6
Tiruvannamalai, 13
Nilgiris, 3, 2
Vellore, 10
Viluppuram, 14, 13, 15
Virudhunagar, 24, 25